,Path,svd_1,svd_2,svd_3,svd_4
0,/Users/gyf/Desktop/earning call analysis/CTAS/2022/Q1/,0.02294622101477207,-0.006085854424916311,-0.010238358068644517,0.002366072187086217
1,/Users/gyf/Desktop/earning call analysis/CTAS/2022/Q2/,0.02639244296472701,-0.007086554000573436,-0.0201888972141872,0.00041388349949480634
2,/Users/gyf/Desktop/earning call analysis/CTAS/2021/Q4/,0.02226903627485426,-0.013167334330072942,-0.013014858963548712,-0.008472851225689857
3,/Users/gyf/Desktop/earning call analysis/WELL/2022/Q1/,0.024724563381259505,0.0036650555395668825,0.008087858157894154,-0.017491698898400816
4,/Users/gyf/Desktop/earning call analysis/WELL/2021/Q1/,0.02252081753848908,0.020919541472658072,0.010943298884167653,-0.01148572156035765
5,/Users/gyf/Desktop/earning call analysis/WELL/2021/Q2/,0.022914525232205173,0.023081347778520698,0.004621070597237323,-0.013607580161141981
6,/Users/gyf/Desktop/earning call analysis/WELL/2021/Q4/,0.025712780297647297,0.010495126761064085,-0.005772120660678381,-0.011291433904716508
7,/Users/gyf/Desktop/earning call analysis/WELL/2021/Q3/,0.023984268955591248,0.011132899240735898,0.005480514097485518,-0.014943784121480006
8,/Users/gyf/Desktop/earning call analysis/VZ/2021/Q1/,0.028470793637884923,-9.400704056429323e-05,-0.007253442604846614,-0.01330362633826202
9,/Users/gyf/Desktop/earning call analysis/VZ/2021/Q2/,0.027109857451502135,0.00020172239448817806,-0.012030946938085733,-0.015054920561068727
10,/Users/gyf/Desktop/earning call analysis/VZ/2021/Q3/,0.025629365201837343,-0.011872816197960082,-0.01288586738144202,-0.014124457073074805
11,/Users/gyf/Desktop/earning call analysis/AMZN/2022/Q1/,0.024693543577156276,-0.010465286384873302,0.008942525247202572,-0.012104213374343649
12,/Users/gyf/Desktop/earning call analysis/AMZN/2021/Q1/,0.02185810716281909,-0.01999815973434758,0.005315836958206393,-0.02166827490877166
13,/Users/gyf/Desktop/earning call analysis/AMZN/2021/Q2/,0.019047389012951287,-0.03282012022386174,-0.0006276875297257448,-0.017787465119081976
14,/Users/gyf/Desktop/earning call analysis/AMZN/2021/Q4/,0.02149037932892842,-0.01822544664246636,0.0035222676854189225,-0.022652988504201582
15,/Users/gyf/Desktop/earning call analysis/AMZN/2021/Q3/,0.018560174522906994,-0.037425243933493044,0.017806703954004983,-0.02574700129428252
16,/Users/gyf/Desktop/earning call analysis/DXC/2022/Q1/,0.029924860868662837,-0.008624185175184087,-0.004984072763775243,-0.02241074796859939
17,/Users/gyf/Desktop/earning call analysis/DXC/2022/Q2/,0.02889501894828952,-0.011847035900338306,0.0037711696624677105,-0.022609371587081616
18,/Users/gyf/Desktop/earning call analysis/DXC/2022/Q3/,0.028451076657210302,-0.014629849111143232,-0.004265290098509432,-0.02357316544304251
19,/Users/gyf/Desktop/earning call analysis/DXC/2021/Q4/,0.028877965907042915,-0.018635602077321272,-0.0031963671951644955,-0.025190926577998863
20,/Users/gyf/Desktop/earning call analysis/CNP/2021/Q1/,0.02019853291408187,0.019456537905516828,0.05464099074617022,-0.004680968953919976
21,/Users/gyf/Desktop/earning call analysis/CNP/2021/Q2/,0.021631261706554585,0.010720581155711874,0.04917769150886834,-0.010424344891378097
22,/Users/gyf/Desktop/earning call analysis/CNP/2021/Q3/,0.021706163870583866,0.020489717469437153,0.04595380844674584,-0.007841807880884129
23,/Users/gyf/Desktop/earning call analysis/RCL/2022/Q1/,0.0175954886172365,0.0034479740059603966,0.026433422118026823,-0.008775091042466135
24,/Users/gyf/Desktop/earning call analysis/RCL/2021/Q1/,0.015126968393563058,0.004612955790978151,0.034176755281806075,-0.018689270677464294
25,/Users/gyf/Desktop/earning call analysis/RCL/2021/Q2/,0.017832262952522274,0.00023280829196582823,0.03923082848243683,-0.023126897663228237
26,/Users/gyf/Desktop/earning call analysis/RCL/2021/Q4/,0.020205259807670836,0.003682176594835345,0.024824928794937983,-0.015407411733523498
27,/Users/gyf/Desktop/earning call analysis/RCL/2021/Q3/,0.017613257316160928,0.001127471124987683,0.03422028102973811,-0.01808295029065595
28,/Users/gyf/Desktop/earning call analysis/TFC/2021/Q1/,0.02356909858031647,0.04285168273087643,-0.026085368063628316,-0.033324569297366276
29,/Users/gyf/Desktop/earning call analysis/TFC/2021/Q2/,0.024849762299161516,0.031028272160056727,-0.01988281873930595,-0.029059221017249892
30,/Users/gyf/Desktop/earning call analysis/TFC/2021/Q3/,0.027080813232671423,0.03958178513894692,-0.03678774882116131,-0.023550613215017436
31,/Users/gyf/Desktop/earning call analysis/AAPL/2022/Q1/,0.02129481917104854,-0.013599640981756905,0.0012767185384247176,-0.025298518588507884
32,/Users/gyf/Desktop/earning call analysis/AAPL/2022/Q2/,0.01945046208543557,-0.007700267443491452,0.005776084333291691,-0.021071904388332757
33,/Users/gyf/Desktop/earning call analysis/AAPL/2021/Q2/,0.020832665001178766,-0.009964278928408486,0.008508072713362553,-0.027135901122160792
34,/Users/gyf/Desktop/earning call analysis/AAPL/2021/Q4/,0.02040533454950481,-0.017239825241680082,0.004656667105745085,-0.023359704091632415
35,/Users/gyf/Desktop/earning call analysis/AAPL/2021/Q3/,0.019936137513531665,-0.010927135326566525,0.00363032724479896,-0.02348838265561742
36,/Users/gyf/Desktop/earning call analysis/PANW/2022/Q2/,0.020738230109626152,-0.0427892230252249,0.026657928449870714,-0.05801189163810761
37,/Users/gyf/Desktop/earning call analysis/PANW/2021/Q4/,0.020722215104498835,-0.04320339284099132,0.02799073553822682,-0.06107074763367684
38,/Users/gyf/Desktop/earning call analysis/PANW/2021/Q3/,0.02231518326665248,-0.04445247356115334,0.02607256843100426,-0.06415901976536571
39,/Users/gyf/Desktop/earning call analysis/PM/2021/Q1/,0.023232450227854,-0.019318034596348996,-0.010981290023138364,0.021145532334892525
40,/Users/gyf/Desktop/earning call analysis/PM/2021/Q2/,0.020787314209919614,-0.01541801674383745,-0.006373021521074517,0.01964628760925355
41,/Users/gyf/Desktop/earning call analysis/PM/2021/Q3/,0.022093747215866363,-0.024531440291917925,-0.009562907723469221,0.020782325541009013
42,/Users/gyf/Desktop/earning call analysis/KHC/2021/Q1/,0.011210154389391946,-0.00815980434074322,0.013280434247621273,-0.002479148718819259
43,/Users/gyf/Desktop/earning call analysis/KHC/2021/Q2/,0.008239117837491384,-0.003818536050005357,0.012403931604106829,-0.003936155076209619
44,/Users/gyf/Desktop/earning call analysis/KHC/2021/Q3/,0.011196023938288696,-0.004688066949969655,0.017831250967724394,-0.008420242857839813
45,/Users/gyf/Desktop/earning call analysis/TEL/2021/Q2/,0.028803307727359884,-0.008373415459727059,-0.0026041372737062637,0.04375377166969234
46,/Users/gyf/Desktop/earning call analysis/TEL/2021/Q4/,0.029447720819454497,-0.013775573048456254,0.006150978620106998,0.033344613507112396
47,/Users/gyf/Desktop/earning call analysis/TEL/2021/Q3/,0.030176036057892642,-0.009406320111246728,-0.00309943135203227,0.041981757152697925
48,/Users/gyf/Desktop/earning call analysis/AAP/2021/Q1/,0.025638927384280752,-0.026388904886887696,0.010475299913459407,0.02220717891044722
49,/Users/gyf/Desktop/earning call analysis/AAP/2021/Q2/,0.02687905491979848,-0.019507759813171006,0.0016841375261517145,0.03320629337858429
50,/Users/gyf/Desktop/earning call analysis/AAP/2021/Q3/,0.026472000137067433,-0.020881428575209637,0.003759188987992528,0.03120618569623007
51,/Users/gyf/Desktop/earning call analysis/CMCSA/2021/Q1/,0.0232750265856265,0.0015759681270171165,-0.005863730378089582,-0.01860465928298952
52,/Users/gyf/Desktop/earning call analysis/CMCSA/2021/Q2/,0.024423137767092307,0.004535313915542862,-0.007166135814320692,-0.017159068336280378
53,/Users/gyf/Desktop/earning call analysis/CMCSA/2021/Q3/,0.022411562590568052,-0.0009019504710852513,-0.008219529885269878,-0.01810985413880393
54,/Users/gyf/Desktop/earning call analysis/GRMN/2021/Q1/,0.024656181960504054,0.007010839165380587,-0.01840968729692648,0.0013432530709220163
55,/Users/gyf/Desktop/earning call analysis/GRMN/2021/Q2/,0.026954326329706804,0.004339097901567814,-0.018462877018507254,0.0003490739701730203
