,Unnamed: 0.1,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Target
0,0,0,CEG,Utilities,2022-05-12,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/12/constellation-energy-corporation-ceg-q1-2022-earni/,/Users/gyf/Desktop/earning call analysis/CEG/2022/Q1/,0.02132035465911
1,1,1,DIS,Communication Services,2022-05-11,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/05/11/walt-disney-dis-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DIS/2022/Q2/,-0.0085543345091781
2,2,2,OXY,Energy,2022-05-11,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/11/occidental-petroleum-oxy-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/OXY/2022/Q1/,-0.0146422175667257
3,3,3,WELL,Real Estate,2022-05-11,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/11/welltower-well-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/WELL/2022/Q1/,0.0010346473099827
4,4,4,XRAY,Health Care,2022-05-11,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/11/dentsply-sirona-xray-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/XRAY/2022/Q1/,0.0045116286509679
5,5,5,EA,Communication Services,2022-05-11,2022,Q4,https://www.fool.com/earnings/call-transcripts/2022/05/11/electronic-arts-ea-q4-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/EA/2022/Q4/,0.0038177366804566
6,6,6,WYNN,Consumer Discretionary,2022-05-11,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/11/wynn-resorts-wynn-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/WYNN/2022/Q1/,-0.0049277333619235
7,7,7,SYY,Consumer Staples,2022-05-11,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/05/11/sysco-syy-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SYY/2022/Q3/,-0.0172495478272108
8,8,8,NCLH,Consumer Discretionary,2022-05-10,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/10/norwegian-cruise-line-holdings-nclh-q1-2022-earnin/,/Users/gyf/Desktop/earning call analysis/NCLH/2022/Q1/,-0.0487352901170389
9,9,9,TDG,Industrials,2022-05-10,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/05/10/transdigm-group-tdg-q2-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/TDG/2022/Q2/,0.0080001931601474
10,10,10,SPG,Real Estate,2022-05-10,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/10/simon-property-group-spg-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/SPG/2022/Q1/,-0.0508944114732971
11,11,11,MCHP,Information Technology,2022-05-09,2022,Q4,https://www.fool.com/earnings/call-transcripts/2022/05/09/microchip-technology-mchp-q4-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/MCHP/2022/Q4/,0.0612657843411742
12,12,12,EOG,Energy,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/eog-resources-eog-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/EOG/2022/Q1/,-0.1080018049270816
13,13,13,D,Utilities,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/dominion-energy-inc-d-q1-2022-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/D/2022/Q1/,-0.0029754821469709
14,14,14,CI,Health Care,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/cigna-ci-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/CI/2022/Q1/,-0.0205694655673325
15,15,15,DVA,Health Care,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/davita-dva-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DVA/2022/Q1/,0.0136946743846855
16,16,16,PPL,Utilities,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/ppl-ppl-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/PPL/2022/Q1/,-0.0150529809647517
17,17,17,VRTX,Health Care,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/vertex-pharmaceuticals-vrtx-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/VRTX/2022/Q1/,-0.0744692984237772
18,18,18,NLOK,Information Technology,2022-05-06,2022,Q4,https://www.fool.com/earnings/call-transcripts/2022/05/06/nortonlifelock-nlok-q4-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/NLOK/2022/Q4/,-0.0052632009756975
19,19,19,ZTS,Health Care,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/zoetis-zts-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ZTS/2022/Q1/,-0.0437326922856683
20,20,20,PENN,Consumer Discretionary,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/penn-national-gaming-penn-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/PENN/2022/Q1/,-0.0716574675389614
21,21,21,O,Real Estate,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/realty-income-o-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/O/2022/Q1/,-0.0235935439078444
22,22,22,MCK,Health Care,2022-05-06,2022,Q4,https://www.fool.com/earnings/call-transcripts/2022/05/06/mckesson-mck-q4-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MCK/2022/Q4/,-0.0225156119451208
23,23,23,WRK,Materials,2022-05-06,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/05/06/westrock-wrk-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/WRK/2022/Q2/,-0.0391385785181115
24,24,24,PH,Industrials,2022-05-06,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/05/06/parker-hannifin-ph-q3-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/PH/2022/Q3/,-0.0012889669754051
25,25,25,HST,Real Estate,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/host-hotels-resorts-hst-q1-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/HST/2022/Q1/,-0.0558299986929384
26,26,26,COP,Energy,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/conocophillips-cop-q1-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/COP/2022/Q1/,-0.0974092789984997
27,27,27,SRE,Utilities,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/sempra-energy-sre-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SRE/2022/Q1/,-0.017404458601673
28,28,28,RCL,Consumer Discretionary,2022-05-05,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/05/royal-caribbean-rcl-q1-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/RCL/2022/Q1/,-0.0508220960712815
29,29,29,MELI,Consumer Discretionary,2022-05-05,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/05/mercadolibre-meli-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MELI/2022/Q1/,0.0156917473878834
